# date	time	lat	lon	hdop
14:30:55	2018-12-19	51.0571333	3.737985	4.2
14:30:56	2018-12-19	51.0571383	3.737985	3.5
14:30:57	2018-12-19	51.0571383	3.737985	13.4
14:30:59	2018-12-19	51.0571383	3.737985	3.5
14:31:00	2018-12-19	51.0571383	3.737985	4.6
14:31:02	2018-12-19	51.0571383	3.737985	8.4
14:31:03	2018-12-19	51.0571667	3.738025	3.7
14:31:05	2018-12-19	51.0571817	3.7380617	4.2
14:31:07	2018-12-19	51.0571967	3.7380917	4.6
14:31:08	2018-12-19	51.0572067	3.73811	4.7
14:31:10	2018-12-19	51.057215	3.7381483	4.7
14:31:11	2018-12-19	51.057215	3.738175	4.9
14:31:12	2018-12-19	51.057215	3.7382033	4.6
14:31:13	2018-12-19	51.0572167	3.738225	4.5
14:31:15	2018-12-19	51.0572217	3.73827	4.6
14:31:16	2018-12-19	51.0572233	3.7382983	4.7
14:31:18	2018-12-19	51.057225	3.738345	4.7
14:31:19	2018-12-19	51.0572217	3.738365	4.4
14:31:20	2018-12-19	51.0572183	3.7383883	4.6
14:31:22	2018-12-19	51.0572017	3.7384133	4.3
14:31:23	2018-12-19	51.0571917	3.73843	4.5
14:31:25	2018-12-19	51.0571783	3.738455	4.5
14:31:27	2018-12-19	51.0571617	3.738465	3.9
14:31:28	2018-12-19	51.0571567	3.7384783	4.1
14:31:30	2018-12-19	51.0571433	3.73851	4.8
14:31:32	2018-12-19	51.0571333	3.73854	3.5
14:31:33	2018-12-19	51.0571267	3.7385667	3.2
14:31:34	2018-12-19	51.0571267	3.7385667	13.2
14:31:37	2018-12-19	51.0571267	3.7385667	7.5
14:31:39	2018-12-19	51.0571267	3.7385667	8.8
14:31:41	2018-12-19	51.0571267	3.7385667	9.8
14:31:43	2018-12-19	51.0571267	3.7385667	10.7
14:31:45	2018-12-19	51.0571267	3.7385667	9.4
14:31:46	2018-12-19	51.0571267	3.7385667	9.7
14:31:48	2018-12-19	51.0571267	3.7385667	10.4
14:31:49	2018-12-19	51.0571267	3.7385667	10.6
14:31:51	2018-12-19	51.0571267	3.7385667	11.8
14:31:53	2018-12-19	51.0571267	3.7385667	10.6
14:31:54	2018-12-19	51.0571267	3.7385667	10.8
14:31:56	2018-12-19	51.0571267	3.7385667	12
14:31:58	2018-12-19	51.0571267	3.7385667	12.4
14:32:00	2018-12-19	51.0571267	3.7385667	13.5
14:32:02	2018-12-19	51.0571267	3.7385667	15
14:32:03	2018-12-19	51.0571267	3.7385667	15.6
14:32:05	2018-12-19	51.0571267	3.7385667	16.7
14:32:07	2018-12-19	51.0571267	3.7385667	14.8
14:32:08	2018-12-19	51.0571267	3.7385667	15.3
14:32:09	2018-12-19	51.0571267	3.7385667	14.5
14:32:11	2018-12-19	51.0571267	3.7385667	17.3
14:32:13	2018-12-19	51.0571283	3.7386733	4.7
14:32:15	2018-12-19	51.0571383	3.7387117	4.9
14:32:16	2018-12-19	51.057145	3.7387317	4.8
14:32:18	2018-12-19	51.05716	3.7387467	4.3
14:32:20	2018-12-19	51.05717	3.7387817	4.3
14:32:22	2018-12-19	51.0571783	3.7388233	4.6
14:32:24	2018-12-19	51.057185	3.73885	4.7
